Run,Execution Time (ms)
1,64.28074836730957
2,71.31600379943848
3,79.03218269348145
4,83.19211006164551
5,96.79317474365234
6,100.97932815551758
7,94.03014183044434
8,88.02676200866699
9,85.68811416625977
10,87.60309219360352
Average,85.09416580200195
