Run,Execution Time (ms)
1,2.9981136322021484
2,2.035379409790039
3,3.7157535552978516
4,3.4093856811523438
5,2.4461746215820312
6,2.2449493408203125
7,2.295970916748047
8,2.2361278533935547
9,1.5537738800048828
10,1.8150806427001953
Average,2.4750709533691406
